sigungu_code,sigungu_nm,q,mode,run2_ms,run3_ms,median_ms,top_type,top_index,top_rows,rows_removed,md5_same
11545,금천구,편의점,off,6.562,6.687,6.625,Index Scan using,idx_mpsn_sigungu,3,3415,y
11545,금천구,스타벅스,on,14.527,14.44,14.483,Bitmap Index Scan on,idx_mpsn_names,731,,y
11545,금천구,스타벅스,off,23.23,23.214,23.222,Index Scan using,idx_mpsn_sigungu,16,3402,y
11545,금천구,미용실,on,9.817,9.76,9.788,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11545,금천구,미용실,off,16.232,16.309,16.27,Index Scan using,idx_mpsn_sigungu,74,3344,y
11560,영등포구,카페,on,248.496,248.94,248.718,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11560,영등포구,카페,off,40.826,40.6,40.713,Index Scan using,idx_mpsn_sigungu,227,6415,y
11560,영등포구,학원,on,240.043,240.099,240.071,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11560,영등포구,학원,off,31.666,32.292,31.979,Index Scan using,idx_mpsn_sigungu,251,6391,y
11560,영등포구,공인중개사,on,62.935,63.396,63.166,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11560,영등포구,공인중개사,off,62.511,62.9,62.706,Index Scan using,idx_mpsn_sigungu,533,6109,y
11560,영등포구,편의점,on,2.45,2.158,2.304,Bitmap Index Scan on,idx_mpsn_sigungu,6642,,y
11560,영등포구,편의점,off,6.687,6.834,6.761,Index Scan using,idx_mpsn_sigungu,8,6634,y
11560,영등포구,스타벅스,on,16.437,16.448,16.443,Index Scan using,idx_mpsn_pnu,1,,y
11560,영등포구,스타벅스,off,22.075,21.979,22.027,Index Scan using,idx_mpsn_sigungu,40,6602,y
11560,영등포구,미용실,on,15.036,15.076,15.056,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11560,영등포구,미용실,off,19.698,19.647,19.672,Index Scan using,idx_mpsn_sigungu,116,6526,y
11590,동작구,카페,on,233.564,235.051,234.308,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11590,동작구,카페,off,24.559,24.666,24.613,Index Scan using,idx_mpsn_sigungu,213,4766,y
11590,동작구,학원,on,234.719,233.834,234.276,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11590,동작구,학원,off,25.241,24.936,25.088,Index Scan using,idx_mpsn_sigungu,241,4738,y
11590,동작구,공인중개사,on,43.781,43.531,43.656,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11590,동작구,공인중개사,off,41.627,41.855,41.741,Index Scan using,idx_mpsn_sigungu,468,4511,y
11590,동작구,편의점,on,1.268,1.224,1.246,Bitmap Index Scan on,idx_mpsn_sigungu,4979,,y
11590,동작구,편의점,off,3.797,3.791,3.794,Index Scan using,idx_mpsn_sigungu,3,4976,y
11590,동작구,스타벅스,on,4.085,3.626,3.856,Bitmap Index Scan on,idx_mpsn_names,731,,y
11590,동작구,스타벅스,off,6.862,6.829,6.845,Index Scan using,idx_mpsn_sigungu,14,4965,y
11590,동작구,미용실,on,9.919,9.648,9.784,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11590,동작구,미용실,off,12.331,12.192,12.261,Index Scan using,idx_mpsn_sigungu,73,4906,y
11620,관악구,카페,on,237.712,236.973,237.343,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11620,관악구,카페,off,30.713,30.66,30.687,Index Scan using,idx_mpsn_sigungu,228,7661,y
11620,관악구,학원,on,236.941,236.814,236.877,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11620,관악구,학원,off,30.242,30.612,30.427,Index Scan using,idx_mpsn_sigungu,252,7637,y
11620,관악구,공인중개사,on,44.691,44.726,44.709,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11620,관악구,공인중개사,off,44.945,44.502,44.724,Index Scan using,idx_mpsn_sigungu,621,7268,y
11620,관악구,편의점,on,1.156,1.158,1.157,Bitmap Index Scan on,idx_mpsn_sigungu,7889,,y
11620,관악구,편의점,off,5.149,5.024,5.087,Index Scan using,idx_mpsn_sigungu,3,7886,y
